name	gender	season	rank	competition	awards_nominated	awards_won	career	monthly_listener
Rio Basier	M	11	7	Indonesian Idol	0	0	Solo	8563
Keyko Vredhe	F	11	8	Indonesian Idol	0	0	No	0
Diana Tumewa	M	11	9	Indonesian Idol	0	0	No	0
Fendi	M	11	10	Indonesian Idol	0	0	No	0
Dea Larasati	F	11	11	Indonesian Idol	0	0	No	0
Mona Lengkong 	F	11	12	Indonesian Idol	0	0	No	0
Regina Ivanova	F	12	1	Indonesian Idol	0	0	Solo	246
Kamasean Matthews	F	12	2	Indonesian Idol	0	0	Solo	270
Prattyoda Bhayangkara	M	12	3	Indonesian Idol	0	0	No	0
Dionysius Agung	M	12	4	Indonesian Idol	0	0	No	0
Febri Yoga	M	12	5	Indonesian Idol	0	0	Solo	294
Maria Rosalia	F	12	6	Indonesian Idol	0	0	No	0
Dera Siagian	F	12	7	Indonesian Idol	0	0	"Solo, Movie"	15
Rosandy Nugroho	M	12	8	Indonesian Idol	0	0	No	0
Rio Agung	M	12	9	Indonesian Idol	0	0	No	0
Ivan Saputra	M	12	10	Indonesian Idol	0	0	No	0
Belinda Fueza	F	12	11	Indonesian Idol	0	0	No	0
Khanza Dinar	F	12	12	Indonesian Idol	0	0	No	0
Nowela Elizabeth 	F	13	1	Indonesian Idol	0	0	Singer	13110
Husein Alatas	M	13	2	Indonesian Idol	0	0	"Movie, TV Soap Opera, Solo"	340
Di Muhammad Devirzha	M	13	3	Indonesian Idol	6	2	"Solo, TV Host"	682391
Yuka Tamada	F	13	4	Indonesian Idol	0	0	"Solo, Movie, TV Soap Opera"	5028
Yusuf Nur Ubay	M	13	5	Indonesian Idol	0	0	Solo	1930
Giofanny Elliandrian	M	13	6	Indonesian Idol	0	0	No	0
Windy Yunita	F	13	7	Indonesian Idol	0	0	Solo	42
Maesarah Nurzaka	F	13	8	Indonesian Idol	0	0	No	0
Yunita Nursetia	F	13	9	Indonesian Idol	0	0	No	0
Miranti Yassovi	F	13	10	Indonesian Idol	0	0	Solo	0
Dewi Puspita Andini	F	13	11	Indonesian Idol	0	0	Solo	12670
Ryan D'Angga	M	13	12	Indonesian Idol	0	0	Solo	0
Maria Simorangkir	F	14	1	Indonesian Idol	0	0	Solo	44083
Ahmad Abdul	M	14	2	Indonesian Idol	0	0	Solo	73261
Joanita Veroni	F	14	3	Indonesian Idol	0	0	Solo	0
Ayu Putrisundari	F	14	4	Indonesian Idol	0	0	Solo	14771
Ghea Indrawari	F	14	5	Indonesian Idol	0	0	Solo	113213
Marion Jola	F	14	6	Indonesian Idol	7	2	Solo	578250
Bianca Jodie	F	14	7	Indonesian Idol	0	0	"Solo, Commercial"	665486
Glen Samuel	M	14	8	Indonesian Idol	0	0	Solo	0
Chandra Wahyudi	M	14	9	Indonesian Idol	0	0	No	0
Abraham Kevin Aprilio	M	14	10	Indonesian Idol	0	0	No	0
Withney Julinetha	F	14	11	Indonesian Idol	0	0	No	0
Mona Magang	F	14	12	Indonesian Idol	0	0	No	0
Fatin Shidqia	F	15	1	X Factor Indonesia	65	30	"Solo, Commercial, Movie"	130916
Novita Dewi	F	15	2	X Factor Indonesia	0	0	Solo	485
Nu Dimension	G	15	3	X Factor Indonesia	0	0	Boyband	0
Mikha Angelo	M	15	4	X Factor Indonesia	3	2	Band Member	882571
Shena Malsiana	F	15	5	X Factor Indonesia	0	0	Solo	83
Isa Raja	M	15	6	X Factor Indonesia	0	0	Solo	476
Gede Bagus	M	15	7	X Factor Indonesia	0	0	Solo	58
Alex Rudiart 	M	15	8	X Factor Indonesia	0	0	Solo	913
Agus Hafiluddin	M	15	9	X Factor Indonesia	0	0	No	0
Ilusia Girls	G	15	10	X Factor Indonesia	0	0	No	0
Yohanna Febrianti	F	15	11	X Factor Indonesia	0	0	No	0
Dalagita	G	15	12	X Factor Indonesia	0	0	No	0
Jebe & Patty 	G	16	1	X Factor Indonesia	0	0	Duo	437
Clarisa Dewi	F	16	2	X Factor Indonesia	0	0	No	0
Desy Natalia	F	16	3	X Factor Indonesia	0	0	No	0
Ramli Nurhappi	M	16	4	X Factor Indonesia	0	0	No	0
Aldy Saputra	M	16	5	X Factor Indonesia	0	0	No	0
Ajeng Astiani	F	16	6	X Factor Indonesia	0	0	No	0
Angela July	F	16	7	X Factor Indonesia	0	0	No	0
Ismi Riza	M	16	8	X Factor Indonesia	0	0	No	0
Sulle Wijaya	M	16	9	X Factor Indonesia	0	0	No	0
Riska Wulandari	F	16	10	X Factor Indonesia	0	0	No	0
Classy	G	16	11	X Factor Indonesia	0	0	No	0
Jad n Sugy	G	16	12	X Factor Indonesia	0	0	No	0
Billy Simpson	M	17	1	The Voice Indonesia	0	0	"Solo, Movie, Commercial"	29532
Leona Dwi Untari	F	17	2	The Voice Indonesia	0	0	No	0
Tiara Degrasia	F	17	3	The Voice Indonesia	0	0	No	0
Agseisa Galuh Putri	F	17	4	The Voice Indonesia	0	0	Solo	0
Abdi Siahaan 	M	17	5	The Voice Indonesia	0	0	No	0
Ferdinand Pardosi	M	17	6	The Voice Indonesia	0	0	Solo	195
Pritta Kartika	F	17	7	The Voice Indonesia	0	0	Solo	18
Saptoto Nugroho	M	17	8	The Voice Indonesia	0	0	Solo	1
Al Fattah	M	17	9	The Voice Indonesia	0	0	Band Member	0
Luise Aminah Najib	F	17	10	The Voice Indonesia	0	0	No	0
Monika Yulianti	F	17	11	The Voice Indonesia	0	0	Solo	3
Santi Danametta	F	17	12	The Voice Indonesia	0	0	No	0
Mario G. Klau	M	18	1	The Voice Indonesia	0	0	Solo	132647
Sekar Teja	F	18	2	The Voice Indonesia	0	0	Solo	954
Fitri Novianti	F	18	3	The Voice Indonesia	0	0	Solo	328
Nina Yunken	F	18	4	The Voice Indonesia	0	0	Solo	62
Aline	F	18	5	The Voice Indonesia	0	0	No	0
Rifany Maria	F	18	6	The Voice Indonesia	0	0	No	0
Ario Setiawan	M	18	7	The Voice Indonesia	0	0	No	0
Gloria Jessica	F	18	8	The Voice Indonesia	0	0	Solo	148039
Maria Stella	F	18	9	The Voice Indonesia	0	0	Solo	46
Nancy Ponto	F	18	10	The Voice Indonesia	0	0	No	0
Dewi Kisworo	F	18	11	The Voice Indonesia	0	0	No	0
Refita Mega 	F	18	12	The Voice Indonesia	0	0	Solo	1
Paramytha Lestari	F	19	1	Mamamia Show Indonesia	0	0	"Solo, Musical"	205542
Margareth Siagian	F	19	2	Mamamia Show Indonesia	1	0	"Solo, Duo"	12794
Fiersha Hanifah	F	19	3	Mamamia Show Indonesia	0	0	No	0
Ajeng Astiani	F	19	4	Mamamia Show Indonesia	0	0	No	0
Rebecca Louis Quinto	F	19	5	Mamamia Show Indonesia	0	0	No	0
Nadya Rafika	F	19	6	Mamamia Show Indonesia	0	0	"Solo, Commercial"	30
Rybka Marya Wijaya	F	19	7	Mamamia Show Indonesia	0	0	No	0
Ratu Juwita Lubis	F	19	8	Mamamia Show Indonesia	0	0	No	0
Anty Ramadhani	F	19	9	Mamamia Show Indonesia	0	0	No	0
Cinta Guitarini	F	19	10	Mamamia Show Indonesia	0	0	No	0
Sheila Marsheila	F	19	11	Mamamia Show Indonesia	0	0	No	0
Disti Rengganis	F	19	12	Mamamia Show Indonesia	0	0	No	0
Maria Anggraini Habeahan	F	20	1	Mamamia Show Indonesia	0	0	No	0
Wizzy Williana Saraswati	F	20	2	Mamamia Show Indonesia	0	0	Solo	0
Shelly Olivia	F	20	3	Mamamia Show Indonesia	0	0	No	0
Brenda G. Bolang	F	20	4	Mamamia Show Indonesia	0	0	Solo	0
Fira Mustika	F	20	5	Mamamia Show Indonesia	0	0	No	0
Vannie Lumbangaol	F	20	6	Mamamia Show Indonesia	0	0	No	0
Muti Andini	F	20	7	Mamamia Show Indonesia	0	0	No	0
Vanya Pranashinta	F	20	8	Mamamia Show Indonesia	0	0	Solo	0
Dio Hapsari	F	20	9	Mamamia Show Indonesia	0	0	No	0
Dara Rizki Ruhiana	F	20	10	Mamamia Show Indonesia	9	9	Band Member	17179
Feby Marcelia 	F	20	11	Mamamia Show Indonesia	0	0	"Solo, FTV, Commercial, Sitcom, TV Soap Opera, Movie"	0
Nini Fransiska	F	20	12	Mamamia Show Indonesia	0	0	TV Reality Show	0
Inka Mayang Marindra	F	21	1	Mamamia Show Indonesia	0	0	Solo	0
Putri	F	21	2	Mamamia Show Indonesia	0	0	No	0
Ingga Mawardy	F	21	3	Mamamia Show Indonesia	0	0	No	0
Nona	F	21	4	Mamamia Show Indonesia	0	0	No	0
Nindy Kartika	F	21	5	Mamamia Show Indonesia	0	0	No	0
Intan	F	21	6	Mamamia Show Indonesia	0	0	No	0
Selvi Kitty	F	21	7	Mamamia Show Indonesia	0	0	Solo	11722
Hanna Lazuardy	F	21	8	Mamamia Show Indonesia	0	0	Solo	0
Vebby Palwinta	F	21	9	Mamamia Show Indonesia	0	0	"Movie, TV Soap Opera, FTV"	0
Tari	F	21	10	Mamamia Show Indonesia	0	0	No	0
Lisca Dewantari	F	21	11	Mamamia Show Indonesia	0	0	No	0
Enissita	F	21	12	Mamamia Show Indonesia	0	0	No	0
Indah Nevertari	F	22	1	Rising Star Indonesia	4	1	"Solo, Commercial, TV Host"	1143
Hanin Dhiya	F	22	2	Rising Star Indonesia	0	0	Solo	719095
Ghaitsa Kenang	F	22	3	Rising Star Indonesia	0	0	Solo	12424
Bluesmates	G	22	4	Rising Star Indonesia	0	0	Band Member	341
Evony Arty	G	22	5	Rising Star Indonesia	0	0	Solo	398
Reyna Qotrunnada	F	22	6	Rising Star Indonesia	0	0	No	0
Sonny Saragih	M	22	7	Rising Star Indonesia	0	0	No	0
Talita Arsyta	F	22	8	Rising Star Indonesia	0	0	No	0
Mega Mauro	F	22	9	Rising Star Indonesia	0	0	Solo	43
CND	G	22	10	Rising Star Indonesia	0	0	Band Member	108
eRKa	G	22	11	Rising Star Indonesia	0	0	No	0
Dimas Anindita 	M	22	12	Rising Star Indonesia	0	0	No	0
Andmesh Kamaleng	M	23	1	Rising Star Indonesia	0	0	Solo	312112
Fauziyah Khalida	F	23	2	Rising Star Indonesia	0	0	No	0
ZerosiX Park	G	23	3	Rising Star Indonesia	0	0	Band Member	178
Trio Wijaya	G	23	4	Rising Star Indonesia	0	0	Solo	1336
Fazrun	M	23	5	Rising Star Indonesia	0	0	No	0
Agung Mieke 	M	23	6	Rising Star Indonesia	0	0	No	0
Bening Ayu	F	23	7	Rising Star Indonesia	0	0	No	0
Julian	M	23	8	Rising Star Indonesia	0	0	No	0
Fadhilah Intan	F	23	9	Rising Star Indonesia	0	0	No	0
Anisa Cahayani	F	23	10	Rising Star Indonesia	0	0	No	0
Valeri Adelia	F	23	11	Rising Star Indonesia	0	0	No	0
Natasya Elvira	F	23	12	Rising Star Indonesia	0	0	No	0
Klantink	G	24	1	Indonesia Mencari Bakat	0	0	No	0
Putri Ayu	F	24	2	Indonesia Mencari Bakat	0	0	Solo	716
Brandon De Angelo	M	24	3	Indonesia Mencari Bakat	0	0	"Movie, Commercial"	0
Hudson Prananjaya	M	24	4	Indonesia Mencari Bakat	0	0	Movie	0
Funky Papua	G	24	5	Indonesia Mencari Bakat	0	0	No	0
Rumingkang	G	24	6	Indonesia Mencari Bakat	0	0	No	0
JP Millenix	F	24	7	Indonesia Mencari Bakat	0	0	"TV Soap Opera, TV Host"	0
Fay Nabila	F	24	8	Indonesia Mencari Bakat	0	0	"TV Show, TV Soap Opera, FTV, Sitcom, Movie"	0
Belda	M	24	9	Indonesia Mencari Bakat	0	0	No	0
Bonita	F	24	10	Indonesia Mencari Bakat	0	0	No	0
Berto Pah	M	24	11	Indonesia Mencari Bakat	0	0	No	0
Janice & Ryan	G	24	12	Indonesia Mencari Bakat	0	0	No	0
Uma Tobing	F	25	1	Indonesia Mencari Bakat	0	0	Solo	0
Ale Soul	G	25	2	Indonesia Mencari Bakat	0	0	No	0
Umar Adi Ali	M	25	3	Indonesia Mencari Bakat	0	0	No	0
Little Queen Band	G	25	4	Indonesia Mencari Bakat	0	0	No	0
Yoseph A Mooi	M	25	5	Indonesia Mencari Bakat	0	0	No	0
Nawawi Ansamble	G	25	6	Indonesia Mencari Bakat	0	0	No	0
Jack Hanafie	M	25	7	Indonesia Mencari Bakat	0	0	No	0
Andhika Surya	M	25	8	Indonesia Mencari Bakat	0	0	No	0
Pasbrama	G	25	9	Indonesia Mencari Bakat	0	0	No	0
Ladysoul	G	25	10	Indonesia Mencari Bakat	0	0	No	0
Ritchie Rivaldy	M	25	11	Indonesia Mencari Bakat	0	0	No	0
Stephany Patilaya	F	25	12	Indonesia Mencari Bakat	0	0	No	0
Sandrina Azzahra	F	26	1	Indonesia Mencari Bakat	0	0	No	0
Vina Candrawati	F	26	2	Indonesia Mencari Bakat	0	0	No	0
Josua Pangaribuan	M	26	3	Indonesia Mencari Bakat	0	0	No	0
Ardhy Dwiki	M	26	4	Indonesia Mencari Bakat	0	0	No	0
Yohanna Harso	F	26	5	Indonesia Mencari Bakat	0	0	No	0
Abby Gallaby	F	26	6	Indonesia Mencari Bakat	0	0	No	0
Street Pass Junior	G	26	7	Indonesia Mencari Bakat	0	0	No	0
Gifty Toisuta	F	26	8	Indonesia Mencari Bakat	0	0	No	0
Aditya Yusuf	M	26	9	Indonesia Mencari Bakat	0	0	No	0
Jessica Bennett	F	26	10	Indonesia Mencari Bakat	0	0	Duo	433
Indah Winar	F	26	11	Indonesia Mencari Bakat	0	0	No	0
Street Evolution Crew	G	26	12	Indonesia Mencari Bakat	0	0	No	0
Rismawanda	F	27	1	Indonesia Mencari Bakat	0	0	No	0
Rega	M	27	2	Indonesia Mencari Bakat	0	0	No	0
Eka dan Dwi	G	27	3	Indonesia Mencari Bakat	0	0	No	0
Nuca	M	27	4	Indonesia Mencari Bakat	0	0	No	0
Floramora Black Soldier	G	27	5	Indonesia Mencari Bakat	0	0	No	0
Lyodra Ginting	F	27	6	Indonesia Mencari Bakat	0	0	No	0
Kalangkang	G	27	7	Indonesia Mencari Bakat	0	0	No	0
Adipha	M	27	8	Indonesia Mencari Bakat	0	0	No	0
Monic Mandagli	F	27	9	Indonesia Mencari Bakat	0	0	No	0
Fikih	M	27	10	Indonesia Mencari Bakat	0	0	No	0
Nyoman David	M	27	11	Indonesia Mencari Bakat	0	0	No	0
Nathan Gulo	M	27	12	Indonesia Mencari Bakat	0	0	No	0
Lesti Andryani	F	28	1	D'Academy	12	9	"TV Soap Opera, FTV"	66824
Nur Aty	F	28	2	D'Academy	0	0	Solo	304
Edfrans Angga	M	28	3	D'Academy	0	0	No	0
Subro Al-Farizhi	M	28	4	D'Academy	0	0	Solo	339
Ikif Khawazima	F	28	5	D'Academy	0	0	Solo	410
Eka Pradona	F	28	6	D'Academy	0	0	No	0
Glenn S. Rumbino	M	28	7	D'Academy	0	0	No	0
Febrohadi Kisyanto	M	28	8	D'Academy	0	0	No	0
Dedy Suwandi	M	28	9	D'Academy	0	0	No	0
Eva Diarti Dinar	F	28	10	D'Academy	0	0	No	0
Ariyanto	M	28	11	D'Academy	0	0	No	0
Zahdan Hasan	M	28	12	D'Academy	0	0	No	0
Evi Anggraini	F	29	1	D'Academy	2	0	"Solo, FTV"	834
Danang Pradana Dieva	M	29	2	D'Academy	11	2	"Solo, FTV"	1692
Irwan Krisdiyanto	M	29	3	D'Academy	2	1	"Solo, FTV"	209
Reza Zakarya Mahdami	M	29	4	D'Academy	1	0	"Solo, FTV"	57
Ika Sugiyarti	F	29	5	D'Academy	0	0	No	0
Ady Kasipahu	M	29	6	D'Academy	0	0	No	0
Ega Noviantika	F	29	7	D'Academy	0	0	"Solo, TV Soap Opera, FTV"	226
Endah Purwaningsih	F	29	8	D'Academy	1	0	"Solo, FTV"	0
Intan Nova Putama	F	29	9	D'Academy	0	0	FTV	0
Mahrita Mauliyani	F	29	10	D'Academy	0	0	No	0
Titik Sanova	F	29	11	D'Academy	0	0	No	0
Tria Aprilia Wulandari	F	29	12	D'Academy	0	0	FTV	0
Muhammad Irsyad Basir	M	30	1	D'Academy	2	0	"Solo, FTV"	338
Weni Wahyuni	F	30	2	D'Academy	0	0	Solo	3521
Irsya Cendikiawan	M	30	3	D'Academy	0	0	No	0
Nurafni	F	30	4	D'Academy	0	0	No	0
Duo Alfin	G	30	5	D'Academy	0	0	No	0
Muhammad Rafly Heriawan	M	30	6	D'Academy	0	0	No	0
Ismail Kadir	M	30	7	D'Academy	0	0	Solo	0
Anggun Merdekawati	F	30	8	D'Academy	0	0	No	0
Sherly Marlinda	F	30	9	D'Academy	0	0	No	0
Dila Erista Aselolle	F	30	10	D'Academy	0	0	No	0
Anisya Cosmaningrum	F	30	11	D'Academy	0	0	No	0
Arin Wulan	F	30	12	D'Academy	0	0	No	0
Fildan Rahayu	F	31	1	D'Academy	0	0	No	0
Putri Isnari	F	31	2	D'Academy	0	0	No	0
Aulia	F	31	3	D'Academy	0	0	No	0
Teguh Purwa Saputra	M	31	4	D'Academy	0	0	No	0
Arland Singh	M	31	5	D'Academy	0	0	No	0
Firdaus Sanjaya	M	31	6	D'Academy	0	0	No	0
Raiga Denindra	M	31	7	D'Academy	0	0	Solo	0
Muhammad Hafiz	M	31	8	D'Academy	0	0	No	0
Sugeng Hidayaturrahman	M	31	9	D'Academy	0	0	No	0
Azizah Ismi Hayrunisa	F	31	10	D'Academy	0	0	No	0
Muhammad Abdul Nabi	M	31	11	D'Academy	0	0	No	0
Poppy Widiarti Taubari	F	31	12	D'Academy	0	0	No	0
